shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00010,PASS,0,39845888,2.4825,2.5261,0.983
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00011,PASS,0,39845888,2.4808,2.5259,0.982
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00100,PASS,0,39845888,2.4804,2.2349,1.110
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00101,PASS,0,39845888,2.4842,2.2366,1.111
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00110,PASS,0,39845888,2.4865,2.2256,1.117
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00111,PASS,0,39845888,2.4853,2.2265,1.116
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01000,PASS,0,39845888,2.4580,1.6906,1.454
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01001,PASS,0,39845888,2.4601,1.6902,1.456
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01010,PASS,0,39845888,2.4607,1.7371,1.417
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01011,PASS,0,39845888,2.4604,1.7371,1.416
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01100,PASS,0,39845888,2.4596,1.4396,1.708
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01101,PASS,0,39845888,2.4648,1.4403,1.711
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01110,PASS,0,39845888,2.4559,1.4507,1.693
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",01111,PASS,0,39845888,2.4601,1.4520,1.694
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10000,PASS,0,39845888,2.4781,2.6467,0.936
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10001,PASS,0,39845888,2.4784,2.6447,0.937
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10010,PASS,0,39845888,2.4842,2.7038,0.919
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10011,PASS,0,39845888,2.4828,2.7021,0.919
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10100,PASS,0,39845888,2.4786,2.3851,1.039
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10101,PASS,0,39845888,2.4816,2.3840,1.041
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10110,PASS,0,39845888,2.4887,2.4007,1.037
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",10111,PASS,0,39845888,2.4894,2.4017,1.037
